product_code,title,description,hashtags,features,price,url
HHP100250901YP1,[이달의 특가] 하와이 6일 #와이키키리조트 #시티뷰 #2일관광 #와이켈레 아웃렛 쇼핑 자유시간,하와이 이달의 특가 상품입니다.,#관광+자유 #관광 #햇살가득여행#로맨틱한호캉스#여행의설렘#하와이여행#호놀룰루관광#여행코스추천#와이키키리조트호텔#다이아몬드헤드관광#스타오브호놀룰루크루즈,"4박 6일, LCC, 쇼핑 1회, 단체여행, 자유일정포함, 가이드경비 USD 60, 선택관광있음","1,679,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HHP100250901YP1&prePage=major-products
HHB102250901YP6,하와이 6일 #하얏트리젠시 #시티뷰 #공항↔호텔 셔틀포함 #에어텔,와이키키에서 가장 큰 객실을 보유하고 있는 하얏트리젠시는 편안함을 누릴 수 있는 대표적 특급호텔입니다. 리조트피가 포함되었으며 공항<->호텔까지 송영서비스를 포함하여 자유여행에 편안함을 추가하였습니다.,#관광 #자유로운하와이#행복한여행일정#편안한여유시간#노쇼핑여행#자유여행추천#하와이여행필수코스#호놀룰루투어#와이키키호텔#오아후섬투어,"4박 6일, LCC, 쇼핑없음, 단체여행, 자유일정포함, 선택관광있음","1,743,500",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HHB102250901YP6&prePage=major-products
HHB146250901YP6,[4인가족상품] 하와이 6일 #애스톤와이키키선셋 #원베드룸스탠다드룸 #레지던스스타일 #공항↔호텔 셔틀포함 #에어텔,알로하! 지상 낙원 하와이에서 나만의 여행을 만들어보세요!,#관광 #가족과함께하는힐링#설레는하와이여행#자유롭게즐기는하와이#하와이자유여행#호놀룰루투어#가족여행추천#ASTONWAIKIKISUNSET#오아후섬투어#와이키키호텔셔틀,"4박 6일, LCC, 쇼핑없음, 단체여행, 자유일정포함, 선택관광있음","1,329,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HHB146250901YP6&prePage=major-products
HWP133250905YP8,[출발확정] 미서부 5대캐년 + 3대도시 8일 #노쇼핑 #가이드/기사경비포함 #2대도시 특급호텔 #리무진 야경투어 #요세미티 국립공원,"미서부 3대도시 LA /라스베이거스/샌프란시스코 및 그랜드/브라이스/자이언/앤텔롭/ 호스슈의 5대 캐년, 미서부의 금강산 요세미티 국립공원을 빠짐없이 모두 만나보는 상품입니다.",#관광 #관광 #환상적인일출#멋진풍경속여행#자연속힐링여행#미서부관광#라스베이거스여행#요세미티국립공원#앤텔로프캐년관광#그랜드캐년투어#자이언캐년탐방,"6박 8일, LCC, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광있음","4,199,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HWP133250905YP8&prePage=major-products
HWP163250901YPS,미서부 5대캐년 + 모뉴먼트밸리 완전일주 10일 #LAS VEGAS 중심가 2박 #모뉴먼트밸리 #앤텔롭캐년 #호스슈 #3대 도시,"미서부 3대도시 LA /라스베이거스/샌프란시스코 및 그랜드/브라이스/자이언의 3대 캐년과 모뉴먼트 밸리, 요세미티 국립공원까지 빠짐없이 둘러보는 상품입니다.",#관광 #관광 #환상적인자연경관#로맨틱한LA여행#여유로운휴식시간#미서부여행#라스베이거스관광#5대캐년여행#앤텔로프캐년탐방#모뉴먼트밸리관광#그랜드캐년관광,"8박 10일, LCC, 쇼핑 1회, 단체여행, 가이드경비 USD 200, 선택관광있음","3,199,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HWP163250901YPS&prePage=major-products
HEP102250905KEA,[출발확정]미동부 캐나다 10일 #나이아가라크루즈 #자유의여신상 #원월드전망대 #우드버리아울렛,"자유의 여신상 크루즈, 원월드 트레이드 센터 등 뉴욕의 랜드마크 및 나이아가라, 퀘벡의 아름다운 경치를 즐길 수 있는 미동부 실속여행 상품입니다.",#관광 #관광 #뉴욕의하루#나이아가라의경이로움#퀘벡의아름다움#미동부캐나다여행#뉴욕관광코스#나이아가라크루즈#자유의여신상관람#몬트리올관광투어#토론토시티크루즈,"8박 10일, 국적기, 쇼핑 2회, 단체여행, 가이드경비 USD 175, 선택관광있음","4,799,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HEP102250905KEA&prePage=major-products
HEP112250906OZA,[출발확정]미동부 캐나다 10일 #퀘벡시내숙박 #특급호텔폭포뷰 #3대유람선탑승,"세계의 경제 중심지 뉴욕, 세계 3대 폭포 나이아가라, 공유하고 싶은 도시 퀘벡 등 볼거리 가득한 미국, 캐나다 동부를 품격있게 즐겨보세요.",#관광 #관광 #브루클린의여유#다채로운추억#자유의여신상과함께#노쇼핑여행#뉴욕관광코스#나이아가라폭포여행#뉴욕투어#나이아가라크루즈#퀘벡시티관광,"8박 10일, 국적기, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광있음","6,399,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HEP112250906OZA&prePage=major-products
HCP111250906WS1,[특가][출발확정][캘거리 직항] 캐나다 항공일주 8일 #존스턴 캐년 이지 트레킹 #로키 설상차 #나이아가라 폭포뷰 2박 #나이아가라 아울렛 #폭포 전망 스테이크,캘거리 직항으로 로키와 나이아가라를 한 번에! 나이아가라 폭포뷰 호텔 2박 연박으로 마음껏 즐기는 나만의 나이아가라 즐기기,#관광 #관광 #폭포앞여유#로키의경이로움#아름다운자연속#캐나다여행#나이아가라폭포투어#캘거리관광#존스톤캐년트레킹#로키설상차탑승#나이아가라아울렛,"6박 8일, 외국항공경유있음, 쇼핑 1회, 단체여행, 가이드경비 CAD 169, 선택관광있음","4,799,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HCP111250906WS1&prePage=major-products
HCP133250904KE1,[실시간 항공] 캐나다 항공일주 10일 #퀘벡&몬트리올 시내숙박 #로키 곤돌라&설상차 #캐필라노 서스펜션 브릿지 #나이아가라 고층 폭포뷰 2박,"더욱 풍성해진 캐나다 항공일주! 캐필라노와 로키에서 캐나다의 대자연을 마음껏 즐기고, 퀘벡과 몬트리올의 다운타운에서 분위기를 느끼고, 나이아가라 고층폭포뷰 2박으로 환상적인 풍경을 즐겨보세요.",#관광#다이닝/미식 #관광 #나이아가라폭포뷰숙소#로키의자연과함께#밴쿠버자유시간#캐나다항공여행#나이아가라폭포투어#퀘벡몬트리올관광#캐나다식도시여행#로키곤돌라탑승#캐필라노서스펜션브릿지,"8박 10일, 국적기, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광있음","8,127,600",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=HCP133250904KE1&prePage=major-products
SSP130250901KEA,[Hola Latin!] 중남미 완전일주 22일 #파타고니아 모레노 빙하 #우유니 소금사막 #마추픽추 #이과수폭포 #칸쿤올인클루시브 3박,✨버킷리스트 몰아서 달성하는 중남미 6개국 완전 정복! 여행의 완성도를 높여줄 하나투어만의 프리미엄 일정으로 떠나보세요.,#관광 #관광 #설레는여행#황홀한자연경관#잊지못할추억#중남미여행#칸쿤올인클루시브#파타고니아빙하투어#이과수폭포체험#마추픽추탐방#우유니소금사막,"18박 22일, 국적기, 쇼핑없음, 단체여행, 인솔자동행, 가이드경비없음, 선택관광없음","23,090,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=SSP130250901KEA&prePage=major-products
